experiment_run,text_id,simplified,raw_model_output,few_shot_example_ids,simplified_word_count,simplified_char_len,simplified_sentence_count,raw_equals_simplified
claude4_1_shot_confidence_20250814-225242,01-a2,"NASA is trying to find and count smaller asteroids. These asteroids are 140 metres wide or bigger. Scientists think there are about 25,000 of these asteroids. NASA has found about 8,000 of them. This means they still need to find 17,000 more. In 2013, a much smaller asteroid exploded above a city in Russia called Chelyabinsk. This asteroid was only 19 metres wide. It hurt 1,200 people. So if these bigger asteroids come near Earth, they could be very dangerous.","NASA is trying to find and count smaller asteroids. These asteroids are 140 metres wide or bigger. Scientists think there are about 25,000 of these asteroids. NASA has found about 8,000 of them. This means they still need to find 17,000 more. In 2013, a much smaller asteroid exploded above a city in Russia called Chelyabinsk. This asteroid was only 19 metres wide. It hurt 1,200 people. So if these bigger asteroids come near Earth, they could be very dangerous.",14-a2,80,464,9,True
claude4_1_shot_confidence_20250814-225242,01-b1,"Now NASA is working to find and record some of the smaller asteroids that are 140 metres wide or bigger. Scientists think there are about 25,000 asteroids of this size. So far, they have found and recorded about 8,000 of them. This means 17,000 are still missing. In 2013, a much smaller asteroid that was only 19 metres wide exploded above the city of Chelyabinsk in Russia and hurt 1,200 people. So these middle-sized asteroids would be very dangerous if they came close to Earth.","Now NASA is working to find and record some of the smaller asteroids that are 140 metres wide or bigger. Scientists think there are about 25,000 asteroids of this size. So far, they have found and recorded about 8,000 of them. This means 17,000 are still missing. In 2013, a much smaller asteroid that was only 19 metres wide exploded above the city of Chelyabinsk in Russia and hurt 1,200 people. So these middle-sized asteroids would be very dangerous if they came close to Earth.",18-b1,85,482,6,True
claude4_1_shot_confidence_20250814-225242,02-a2,"Earthquakes can break buildings and bridges. But bridges don't fall down very often now, especially new bridges. Engineers who build bridges have learned how to make them stronger. They know how to build bridges that don't break easily when the ground moves during an earthquake.","Earthquakes can break buildings and bridges. But bridges don't fall down very often now, especially new bridges. Engineers who build bridges have learned how to make them stronger. They know how to build bridges that don't break easily when the ground moves during an earthquake.",14-a2,45,279,4,True
claude4_1_shot_confidence_20250814-225242,02-b1,"Earthquakes damage all buildings, including bridges. Fortunately, bridges falling down doesn't happen very often, especially with new bridges. Engineers have learned how to build bridges in earthquake areas using methods that can handle ground movement much better.","Earthquakes damage all buildings, including bridges. Fortunately, bridges falling down doesn't happen very often, especially with new bridges. Engineers have learned how to build bridges in earthquake areas using methods that can handle ground movement much better.",18-b1,37,265,3,True
claude4_1_shot_confidence_20250814-225242,03-a2,"The Hunger Games happen every year. The Capitol is the government. They use the Games to punish the districts because the districts fought against them before. Every year, each district must send two young people to the Games - one boy and one girl. These young people are between 12 and 18 years old. They choose them by lottery - this means they pick names from a box. The young people who go to the Games are called ""tributes"". In the Games, all the tributes must fight each other. Only one person can stay alive at the end. Everyone in the country must watch this on TV.","The Hunger Games happen every year. The Capitol is the government. They use the Games to punish the districts because the districts fought against them before. Every year, each district must send two young people to the Games - one boy and one girl. These young people are between 12 and 18 years old. They choose them by lottery - this means they pick names from a box. The young people who go to the Games are called ""tributes"". In the Games, all the tributes must fight each other. Only one person can stay alive at the end. Everyone in the country must watch this on TV.",14-a2,107,574,10,True
claude4_1_shot_confidence_20250814-225242,03-b1,"The Hunger Games happen every year. The Capitol uses this event to remind the districts that they are being punished because they fought against the government in the past. Every year, one boy and one girl between 12 and 18 years old are picked by chance from each district. They have to fight in a battle where only one person can stay alive. These young people are called ""tributes"". Everyone in the country must watch this event on television.","The Hunger Games happen every year. The Capitol uses this event to remind the districts that they are being punished because they fought against the government in the past. Every year, one boy and one girl between 12 and 18 years old are picked by chance from each district. They have to fight in a battle where only one person can stay alive. These young people are called ""tributes"". Everyone in the country must watch this event on television.",18-b1,79,446,6,True
claude4_1_shot_confidence_20250814-225242,04-a2,"Birds, squirrels, mice and insects are small animals. We often see them in cities and towns. But now, bigger wild animals are coming into cities too. This is happening more and more. Newspapers and TV news talk about this a lot. 

There are bears in parks in Vancouver. Vancouver is a city in Canada. There are leopards walking on streets in Mumbai. Mumbai is a big city in India. There are wild pigs in people's gardens in Berlin. Berlin is a city in Germany.

What happens when these big animals come to our cities? Do people like them? Or do people think they are dangerous? Do people think these animals cause problems?","Birds, squirrels, mice and insects are small animals. We often see them in cities and towns. But now, bigger wild animals are coming into cities too. This is happening more and more. Newspapers and TV news talk about this a lot. 

There are bears in parks in Vancouver. Vancouver is a city in Canada. There are leopards walking on streets in Mumbai. Mumbai is a big city in India. There are wild pigs in people's gardens in Berlin. Berlin is a city in Germany.

What happens when these big animals come to our cities? Do people like them? Or do people think they are dangerous? Do people think these animals cause problems?",14-a2,112,623,15,True
claude4_1_shot_confidence_20250814-225242,04-b1,"Small animals like birds, squirrels, mice and insects are easy to see in many cities and towns. But in recent years, newspapers and TV news around the world have reported many stories about wild animals coming into cities more and more often. There have been bears in Vancouver parks, leopards on the streets of Mumbai and wild pigs in gardens in Berlin. What happens when bigger animals come into our cities? Do people welcome them or do people think they are dangerous or cause problems?","Small animals like birds, squirrels, mice and insects are easy to see in many cities and towns. But in recent years, newspapers and TV news around the world have reported many stories about wild animals coming into cities more and more often. There have been bears in Vancouver parks, leopards on the streets of Mumbai and wild pigs in gardens in Berlin. What happens when bigger animals come into our cities? Do people welcome them or do people think they are dangerous or cause problems?",18-b1,85,489,5,True
claude4_1_shot_confidence_20250814-225242,05-a2,"'Potentially Hazardous Asteroids' are big rocks in space. They can come very close to Earth - less than 7.5 million kilometres away. NASA is a space organization. They have made a map of 1,400 of these dangerous rocks. NASA thinks none of these rocks will hit Earth in the next 100 years. NASA can watch these rocks with special machines. They can tell us if a rock might hit Earth. If that happens, NASA has two ways to stop the rock from hitting our planet.","'Potentially Hazardous Asteroids' are big rocks in space. They can come very close to Earth - less than 7.5 million kilometres away. NASA is a space organization. They have made a map of 1,400 of these dangerous rocks. NASA thinks none of these rocks will hit Earth in the next 100 years. NASA can watch these rocks with special machines. They can tell us if a rock might hit Earth. If that happens, NASA has two ways to stop the rock from hitting our planet.",14-a2,85,459,9,True
claude4_1_shot_confidence_20250814-225242,05-b1,"'Potentially Hazardous Asteroids' are space rocks that can come within 7.5 million kilometres of Earth's path around the sun. NASA has made a map showing 1,400 of these dangerous asteroids. None of them are expected to hit Earth in the next one hundred years. NASA can already watch these space rocks using technology we have now. They can also predict if one might hit Earth. If this happens, NASA has two ways to protect our planet.","'Potentially Hazardous Asteroids' are space rocks that can come within 7.5 million kilometres of Earth's path around the sun. NASA has made a map showing 1,400 of these dangerous asteroids. None of them are expected to hit Earth in the next one hundred years. NASA can already watch these space rocks using technology we have now. They can also predict if one might hit Earth. If this happens, NASA has two ways to protect our planet.",18-b1,76,434,7,True
claude4_1_shot_confidence_20250814-225242,06-a2,"One night in 2003, Suzanne Collins was watching TV. She kept changing the TV channels to find something good to watch. At that time, the US was fighting a war in Iraq. On TV, she could only find two types of programs. The first type was 'reality' programs. In these programs, young people play games and try to win one million dollars. The second type was news programs about the war. Suzanne watched both types of programs. She began to think the two things were similar in a scary way. This gave her the idea to write The Hunger Games.","One night in 2003, Suzanne Collins was watching TV. She kept changing the TV channels to find something good to watch. At that time, the US was fighting a war in Iraq. On TV, she could only find two types of programs. The first type was 'reality' programs. In these programs, young people play games and try to win one million dollars. The second type was news programs about the war. Suzanne watched both types of programs. She began to think the two things were similar in a scary way. This gave her the idea to write The Hunger Games.",14-a2,100,537,10,True
claude4_1_shot_confidence_20250814-225242,06-b1,"One night in 2003, Suzanne Collins was changing TV channels. At that time, the US was fighting a war in Iraq. The only TV shows she could find were 'reality' shows where young people tried to win a million dollars and news shows about the war. Suzanne says that these two things began to mix together in a scary way and this gave her the idea for The Hunger Games.","One night in 2003, Suzanne Collins was changing TV channels. At that time, the US was fighting a war in Iraq. The only TV shows she could find were 'reality' shows where young people tried to win a million dollars and news shows about the war. Suzanne says that these two things began to mix together in a scary way and this gave her the idea for The Hunger Games.",18-b1,70,364,4,True
claude4_1_shot_confidence_20250814-225242,07-a2,"The Life of Pi is a story about a boy called Pi. Pi is a teenager from India. His ship crashes and he is alone on a small boat in the Pacific Ocean. There is also a big, dangerous tiger on the boat with him. A man from Canada called Yann Martel wrote this book. It was his third book. The book came out in 2001. Many people liked it - more than seven million people bought it around the world. The book won prizes and people changed it into 41 different languages. Yann Martel's father worked for the government in different countries. When Yann was a child, he lived in Costa Rica, Canada, France and Mexico.","The Life of Pi is a story about a boy called Pi. Pi is a teenager from India. His ship crashes and he is alone on a small boat in the Pacific Ocean. There is also a big, dangerous tiger on the boat with him. A man from Canada called Yann Martel wrote this book. It was his third book. The book came out in 2001. Many people liked it - more than seven million people bought it around the world. The book won prizes and people changed it into 41 different languages. Yann Martel's father worked for the government in different countries. When Yann was a child, he lived in Costa Rica, Canada, France and Mexico.",14-a2,117,609,11,True
claude4_1_shot_confidence_20250814-225242,07-b1,"The Life of Pi tells the amazing story of Pi, a teenage boy from India, who is in a ship accident and becomes stuck in a small boat in the Pacific Ocean with a dangerous tiger. It is the third book by the Canadian writer Yann Martel, and came out in 2001. Since then, it has sold more than seven million copies around the world, won several prizes and been translated into 41 languages. Martel's father was a diplomat and when he was a child, he lived in Costa Rica, Canada, France and Mexico.","The Life of Pi tells the amazing story of Pi, a teenage boy from India, who is in a ship accident and becomes stuck in a small boat in the Pacific Ocean with a dangerous tiger. It is the third book by the Canadian writer Yann Martel, and came out in 2001. Since then, it has sold more than seven million copies around the world, won several prizes and been translated into 41 languages. Martel's father was a diplomat and when he was a child, he lived in Costa Rica, Canada, France and Mexico.",18-b1,94,493,4,True
claude4_1_shot_confidence_20250814-225242,08-a2,"Sometimes people dream about getting a phone call from an old friend. Sometimes they dream that someone they know will die. When these things really happen later, people think their dream told them about the future. But this is not true. It happens because of luck, not because the dream was special. Also, we forget about our dreams when they don't come true. We only remember the dreams that match what really happens.","Sometimes people dream about getting a phone call from an old friend. Sometimes they dream that someone they know will die. When these things really happen later, people think their dream told them about the future. But this is not true. It happens because of luck, not because the dream was special. Also, we forget about our dreams when they don't come true. We only remember the dreams that match what really happens.",14-a2,73,420,7,True
claude4_1_shot_confidence_20250814-225242,08-b1,"Dreams about getting a phone call from an old friend or about someone close to you dying, for example, are more likely to happen by chance than because the dream can tell the future. And, of course, we probably choose to forget all the times we dream about these things but they don't actually happen.","Dreams about getting a phone call from an old friend or about someone close to you dying, for example, are more likely to happen by chance than because the dream can tell the future. And, of course, we probably choose to forget all the times we dream about these things but they don't actually happen.",18-b1,55,301,2,True
claude4_1_shot_confidence_20250814-225242,09-a2,"Sometimes bridges fall down and people don't know why. Engineers need to study the bridge carefully to find out what happened. There are different reasons why bridges can fall down. Sometimes the materials used to build the bridge were not good quality. Sometimes an important part of the bridge was broken or had a problem. Other times, the bridge was made to carry only a certain weight. If something too heavy goes on the bridge, it can break.","Sometimes bridges fall down and people don't know why. Engineers need to study the bridge carefully to find out what happened. There are different reasons why bridges can fall down. Sometimes the materials used to build the bridge were not good quality. Sometimes an important part of the bridge was broken or had a problem. Other times, the bridge was made to carry only a certain weight. If something too heavy goes on the bridge, it can break.",14-a2,78,446,7,True
claude4_1_shot_confidence_20250814-225242,09-b1,"Some bridge collapses are puzzles, and engineers only understand why after they do a complete study. In some cases, this could happen because poor-quality materials were used when building the bridge, or because there was a problem with an important part of the bridge. In other cases, the bridge was built to carry only a certain amount of weight and nothing heavier.","Some bridge collapses are puzzles, and engineers only understand why after they do a complete study. In some cases, this could happen because poor-quality materials were used when building the bridge, or because there was a problem with an important part of the bridge. In other cases, the bridge was built to carry only a certain amount of weight and nothing heavier.",18-b1,62,368,3,True
claude4_1_shot_confidence_20250814-225242,10-a2,"Before, I worked five days every week. Then I had a baby and stopped working for some time. When I went back to work, I wanted to spend more time with my children before they go to school. I talked to my boss about this. We decided I would work only three days each week. This means I get less money now because I work fewer days. But I found a problem: I still have the same amount of work to do! Now I do five days of work in only three days, but I get much less money for it!","Before, I worked five days every week. Then I had a baby and stopped working for some time. When I went back to work, I wanted to spend more time with my children before they go to school. I talked to my boss about this. We decided I would work only three days each week. This means I get less money now because I work fewer days. But I found a problem: I still have the same amount of work to do! Now I do five days of work in only three days, but I get much less money for it!",14-a2,101,478,8,True
claude4_1_shot_confidence_20250814-225242,10-b1,"I used to work five days a week, but after I finished my parental leave, I decided that I wanted to spend more time with my children before they go to school. After talking with my boss, we agreed to reduce my working week to three days. This meant I also got much less money, because I am paid for the days I work. But I have noticed that I still have the same amount of work to do! I am now doing five days of work in three days, but I get paid much less for it!","I used to work five days a week, but after I finished my parental leave, I decided that I wanted to spend more time with my children before they go to school. After talking with my boss, we agreed to reduce my working week to three days. This meant I also got much less money, because I am paid for the days I work. But I have noticed that I still have the same amount of work to do! I am now doing five days of work in three days, but I get paid much less for it!",18-b1,98,464,5,True
