Experiment Run,CEFR_weighted_f1,CEFR_adj_accuracy,CEFR_rmse,Meaning_MeaningBERT-Orig,Meaning_BERTScore-Orig,Similarity_MeaningBERT-Ref,Similarity_BERTScore-Ref
gpt4o_cot_20250727-173349,0.5166,0.975,0.7416,0.7416,0.9306,0.7374,0.9206
gpt4o_target_250727-151039,0.4345,0.95,0.8367,0.7959,0.9377,0.7855,0.9259
gpt4o_with_description_1_shot_20250727-164212,0.4247,0.925,0.8944,0.7949,0.9409,0.7854,0.9258
gpt4o_with_description_20250727-160655,0.5043,0.95,0.8062,0.7952,0.9388,0.7747,0.9252
gpt4o_with_description_2_shot_20250727-171917,0.5369,0.95,0.7906,0.7923,0.9418,0.7894,0.9263
gpto1_target_250727-151248,0.4345,0.925,0.8803,0.8263,0.9392,0.7933,0.924
gpto1_with_description_1_shot_20250727-164428,0.5515,0.925,0.9083,0.8185,0.9454,0.7934,0.9261
gpto1_with_description_20250727-160906,0.5213,0.925,0.922,0.8253,0.9391,0.8017,0.9226
gpto1_with_description_2_shot_20250727-172126,0.5045,0.925,0.866,0.8333,0.9452,0.8023,0.9268
gpto3_target_250727-151801,0.5543,0.95,0.7746,0.7651,0.919,0.7756,0.9147
gpto3_with_description_1_shot_20250727-165024,0.5043,0.95,0.8062,0.7777,0.9285,0.7904,0.9224
gpto3_with_description_20250727-161443,0.455,0.95,0.8367,0.7524,0.9181,0.7687,0.9126
gpto3_with_description_2_shot_20250727-172708,0.4398,0.925,0.9487,0.7793,0.9293,0.7721,0.9216
