Experiment Run,CEFR_weighted_f1,CEFR_adj_accuracy,CEFR_rmse,Meaning_MeaningBERT-Orig,Meaning_BERTScore-Orig,Similarity_MeaningBERT-Ref,Similarity_BERTScore-Ref
claude4_1_shot_confidence_20250814-225242,0.7246,1.0,0.5244,0.752,0.9299,0.769,0.9253
claude4_1_shot_contrastive_confidence_20250814-231336,0.6994,1.0,0.5701,0.7603,0.9318,0.7795,0.9273
claude_4_contrastive_20250807-100046,0.7283,1.0,0.5477,0.766,0.9396,0.7743,0.9279
claude_4_target_20250806-222640,0.5683,1.0,0.6519,0.7776,0.9314,0.7685,0.9239
claude_4_with_description_1_shot_20250806-230728,0.6578,1.0,0.5916,0.7833,0.9377,0.781,0.9283
claude_4_with_description_20250806-224715,0.5523,1.0,0.6519,0.7454,0.9304,0.7684,0.923
claude_4_with_description_2_shot_20250806-214815,0.7234,1.0,0.5244,0.7682,0.9355,0.7782,0.9289
gemma3_1_shot_confidence_20250814-233832,0.5591,1.0,0.6519,0.7637,0.925,0.7705,0.919
gemma3_1_shot_contrastive_confidence_20250814-234437,0.79,1.0,0.4743,0.7343,0.9255,0.763,0.9195
gemma3_2_shot_confidence_20250814-235239,0.619,1.0,0.6124,0.7566,0.9288,0.7727,0.9205
gemma3_2_shot_contrastive_confidence_20250814-235850,0.6833,1.0,0.5701,0.7389,0.9265,0.7563,0.9213
gemma_3_contrastive_20250807-102113,0.6417,1.0,0.5916,0.7661,0.9314,0.7758,0.9225
gemma_3_target_20250807-032335,0.4949,1.0,0.7071,0.7653,0.9251,0.7807,0.9189
gemma_3_with_description_1_shot_20250807-033517,0.5726,1.0,0.6519,0.7607,0.9283,0.7787,0.9204
gemma_3_with_description_20250807-032929,0.5988,0.975,0.6892,0.766,0.9245,0.7813,0.9191
gemma_3_with_description_2_shot_20250807-034034,0.6491,1.0,0.5916,0.7699,0.928,0.7858,0.9203
gpt4o_contrastive_20250807-092650,0.5789,1.0,0.6708,0.7894,0.9408,0.7793,0.925
gpt4o_cot_20250727-173349,0.599,1.0,0.6325,0.7416,0.9306,0.7374,0.9206
gpt4o_target_250727-151039,0.5753,1.0,0.6519,0.7959,0.9377,0.7855,0.9259
gpt4o_with_description_1_shot_20250727-164212,0.5789,1.0,0.6708,0.7949,0.9409,0.7854,0.9258
gpt4o_with_description_20250727-160655,0.6667,1.0,0.5916,0.7952,0.9388,0.7747,0.9252
gpt4o_with_description_2_shot_20250727-171917,0.6238,1.0,0.6325,0.7923,0.9418,0.7894,0.9263
gpt5_1_shot_confidence_20250814-204650,0.6658,1.0,0.5916,0.7929,0.9349,0.7901,0.9238
gpt5_1_shot_contrastive_confidence_20250814-222216,0.6902,1.0,0.5916,0.799,0.937,0.7837,0.9261
gpt5_2_shot_confidence_20250814-220119,0.7692,0.975,0.5701,0.7885,0.935,0.796,0.9256
gpt_5_1_shot_20250813-113246,0.6388,1.0,0.6124,0.8019,0.9393,0.7991,0.9272
gpt_5_2_shot_20250813-114758,0.6226,0.975,0.6892,0.7985,0.9387,0.8061,0.9269
gpt_5_contrastive_20250813-123527,0.6147,0.975,0.7071,0.8207,0.9467,0.7967,0.9291
gpt_5_target_20250813-105845,0.5972,0.95,0.7583,0.8077,0.9417,0.7825,0.9259
gpt_5_with_description_20250813-111658,0.6314,0.975,0.6892,0.8152,0.9394,0.7817,0.9235
gpt_5_with_description_instruct_v1_20250818-122548,0.4355,0.825,1.084,0.8999,0.9693,0.7985,0.9276
o1_1_shot_confidence_20250816-000529,0.5144,0.975,0.7583,0.8193,0.9419,0.802,0.9265
o1_1_shot_contrastive_confidence_20250816-001954,0.6237,0.975,0.7071,0.7913,0.938,0.8015,0.9266
o1_2_shot_confidence_20250816-091341,0.6645,0.975,0.6708,0.8182,0.9408,0.8048,0.9274
o1_contrastive_20250807-093035,0.6138,0.975,0.7071,0.8382,0.9443,0.8093,0.9265
o1_target_250727-151248,0.5857,0.95,0.7746,0.8263,0.9392,0.7933,0.924
o1_with_description_1_shot_20250727-164428,0.5185,0.9,0.9083,0.8185,0.9454,0.7934,0.9261
o1_with_description_20250727-160906,0.635,0.975,0.6708,0.8253,0.9391,0.8017,0.9226
o1_with_description_2_shot_20250727-172126,0.5804,0.9,0.8803,0.8333,0.9452,0.8023,0.9268
o1_with_description_instruct_v1_20250818-133011,0.4099,0.825,1.084,0.9111,0.9698,0.8007,0.927
o3_1_shot_confidence_20250816-001331,0.6815,1.0,0.5701,0.7389,0.9249,0.7779,0.9217
o3_1_shot_contrastive_confidence_20250816-002914,0.7184,1.0,0.5477,0.7495,0.9227,0.7742,0.9208
o3_2_shot_confidence_20250816-092338,0.6306,0.975,0.6892,0.7549,0.9244,0.7613,0.9196
o3_contrastive_20250807-094515,0.7286,1.0,0.5477,0.7547,0.929,0.7863,0.9231
o3_target_250727-151801,0.5381,1.0,0.6892,0.7651,0.919,0.7756,0.9147
o3_with_description_1_shot_20250727-165024,0.6388,1.0,0.6124,0.7777,0.9285,0.7904,0.9224
o3_with_description_20250727-161443,0.6653,1.0,0.5701,0.7524,0.9181,0.7687,0.9126
o3_with_description_2_shot_20250727-172708,0.641,1.0,0.6124,0.7793,0.9293,0.7721,0.9216
