experiment_run,n_in_simplifications,n_in_scores,n_after_join,join_coverage_pct_of_min,dup_in_simplifications,dup_in_scores,avg_meaningbert_orig,avg_meaningbert_ref,avg_bertscore_f1_orig,avg_bertscore_f1_ref,pct_cefr_adj_accuracy,pct_raw_equals_simplified,avg_words,avg_chars,avg_sentences,target_cefr_count_A2,target_cefr_count_B1,predicted_cefr_count_A2,predicted_cefr_count_B1,predicted_cefr_count_B2
claude4_1_shot_confidence_20250814-225242,40,40,40,100.0,0,0,0.7519525,0.76898,0.92993,0.9253300000000001,100.0,,90.05,508.6,7.15,20,20,26,13,1.0
claude4_1_shot_contrastive_confidence_20250814-231336,40,40,40,100.0,0,0,0.7603424999999999,0.7794575,0.9317925,0.9273250000000001,100.0,,89.475,512.825,6.825,20,20,24,11,5.0
claude_4_contrastive_20250807-100046,40,40,40,100.0,0,0,0.7659775,0.7743074999999999,0.9396374999999999,0.9278875,100.0,,80.625,463.75,5.725,20,20,22,14,4.0
claude_4_target_20250806-222640,40,40,40,100.0,0,0,0.77758,0.7685425,0.9314175000000002,0.9239024999999998,100.0,,86.325,487.9,7.35,20,20,25,15,
claude_4_with_description_1_shot_20250806-230728,40,40,40,100.0,0,0,0.7832975,0.7810275,0.9376525000000001,0.9282625,100.0,,84.725,476.975,6.6,20,20,24,14,2.0
claude_4_with_description_20250806-224715,40,40,40,100.0,0,0,0.7454425,0.7683925,0.9303725,0.9230550000000001,100.0,,81.225,460.425,6.925,20,20,29,11,
claude_4_with_description_2_shot_20250806-214815,40,40,40,100.0,0,0,0.7682425,0.7781925,0.9355374999999999,0.9288624999999999,100.0,,84.55,481.475,6.425,20,20,23,17,
gemma3_1_shot_confidence_20250814-233832,40,40,40,100.0,0,0,0.7636875,0.7704975,0.9250399999999999,0.9190400000000001,100.0,,71.525,402.95,4.95,20,20,28,11,1.0
gemma3_1_shot_contrastive_confidence_20250814-234437,40,40,40,100.0,0,0,0.7342525,0.76298,0.9255425,0.9194525,100.0,,70.825,395.9,4.9,20,20,23,15,2.0
gemma3_2_shot_confidence_20250814-235239,40,40,40,100.0,0,0,0.7566175,0.7726675000000001,0.928755,0.9205300000000001,100.0,,72.125,406.65,4.875,20,20,25,15,
gemma3_2_shot_contrastive_confidence_20250814-235850,40,40,40,100.0,0,0,0.7389175,0.756255,0.9264825,0.9213275,100.0,,71.2,398.575,4.625,20,20,20,19,1.0
gemma_3_contrastive_20250807-102113,40,40,40,100.0,0,0,0.7661075,0.7758375,0.9313749999999998,0.9225125000000001,100.0,,67.55,381.25,4.625,20,20,28,10,2.0
gemma_3_target_20250807-032335,40,40,40,100.0,0,0,0.76533,0.78065,0.9250999999999999,0.9188675,100.0,,72.9,417.2,4.925,20,20,24,16,
gemma_3_with_description_1_shot_20250807-033517,40,40,40,100.0,0,0,0.7607299999999999,0.7787124999999999,0.92827,0.9203575,100.0,,71.7,405.7,4.95,20,20,23,17,
gemma_3_with_description_20250807-032929,40,40,40,100.0,0,0,0.7660225,0.7813325,0.9245125,0.9191099999999999,97.5,,71.325,405.4,5.15,20,20,26,13,1.0
gemma_3_with_description_2_shot_20250807-034034,40,40,40,100.0,0,0,0.76987,0.7858050000000001,0.9280100000000001,0.9202625,100.0,,71.1,402.675,4.725,20,20,22,18,
