experiment_run,text_id,simplified,raw_model_output,target_cefr,predicted_cefr,predicted_cefr_confidence,cefr_adj_accuracy,meaningbert_orig,bertscore_f1_orig,meaningbert_ref,bertscore_f1_ref,cefr_probas_ModernBERT-base-doc_en-Cefr_A1,cefr_probas_ModernBERT-base-doc_en-Cefr_A2,cefr_probas_ModernBERT-base-doc_en-Cefr_B1,cefr_probas_ModernBERT-base-doc_en-Cefr_B2,cefr_probas_ModernBERT-base-doc_en-Cefr_C1,cefr_probas_ModernBERT-base-doc_en-Cefr_C2,cefr_probas_ModernBERT-base-doc_sent_en-Cefr_A1,cefr_probas_ModernBERT-base-doc_sent_en-Cefr_A2,cefr_probas_ModernBERT-base-doc_sent_en-Cefr_B1,cefr_probas_ModernBERT-base-doc_sent_en-Cefr_B2,cefr_probas_ModernBERT-base-doc_sent_en-Cefr_C1,cefr_probas_ModernBERT-base-doc_sent_en-Cefr_C2,cefr_probas_ModernBERT-base-reference_AllLang-Cefr_A1,cefr_probas_ModernBERT-base-reference_AllLang-Cefr_A2,cefr_probas_ModernBERT-base-reference_AllLang-Cefr_B1,cefr_probas_ModernBERT-base-reference_AllLang-Cefr_B2,cefr_probas_ModernBERT-base-reference_AllLang-Cefr_C1,cefr_probas_ModernBERT-base-reference_AllLang-Cefr_C2,few_shot_example_ids
claude4_1_shot_confidence_20250814-225242,01-a2,"NASA is trying to find and count smaller asteroids. These asteroids are 140 metres wide or bigger. Scientists think there are about 25,000 of these asteroids. NASA has found about 8,000 of them. This means they still need to find 17,000 more. In 2013, a much smaller asteroid exploded above a city in Russia called Chelyabinsk. This asteroid was only 19 metres wide. It hurt 1,200 people. So if these bigger asteroids come near Earth, they could be very dangerous.","NASA is trying to find and count smaller asteroids. These asteroids are 140 metres wide or bigger. Scientists think there are about 25,000 of these asteroids. NASA has found about 8,000 of them. This means they still need to find 17,000 more. In 2013, a much smaller asteroid exploded above a city in Russia called Chelyabinsk. This asteroid was only 19 metres wide. It hurt 1,200 people. So if these bigger asteroids come near Earth, they could be very dangerous.",A2,A2,0.9989,1,0.7358,0.9303,0.8398,0.9339,2.5e-05,0.998903,0.00106,3e-06,9e-06,0.0,1e-05,0.745497,0.253001,0.001491,1e-06,0.0,0.001716,0.997031,0.001253,0.0,0.0,0.0,['14-a2']
claude4_1_shot_confidence_20250814-225242,01-b1,"Now NASA is working to find and record some of the smaller asteroids that are 140 metres wide or bigger. Scientists think there are about 25,000 asteroids of this size. So far, they have found and recorded about 8,000 of them. This means 17,000 are still missing. In 2013, a much smaller asteroid that was only 19 metres wide exploded above the city of Chelyabinsk in Russia and hurt 1,200 people. So these middle-sized asteroids would be very dangerous if they came close to Earth.","Now NASA is working to find and record some of the smaller asteroids that are 140 metres wide or bigger. Scientists think there are about 25,000 asteroids of this size. So far, they have found and recorded about 8,000 of them. This means 17,000 are still missing. In 2013, a much smaller asteroid that was only 19 metres wide exploded above the city of Chelyabinsk in Russia and hurt 1,200 people. So these middle-sized asteroids would be very dangerous if they came close to Earth.",B1,A2,0.9636,1,0.8204,0.9532,0.8337,0.9244,3.9e-05,0.949364,0.050278,3.7e-05,0.000278,4e-06,0.0,8e-06,0.049285,0.950669,3.8e-05,0.0,0.000812,0.963615,0.035573,0.0,0.0,0.0,['18-b1']
claude4_1_shot_confidence_20250814-225242,02-a2,"Earthquakes can break buildings and bridges. But bridges don't fall down very often now, especially new bridges. Engineers who build bridges have learned how to make them stronger. They know how to build bridges that don't break easily when the ground moves during an earthquake.","Earthquakes can break buildings and bridges. But bridges don't fall down very often now, especially new bridges. Engineers who build bridges have learned how to make them stronger. They know how to build bridges that don't break easily when the ground moves during an earthquake.",A2,A2,0.9995,1,0.6936,0.9143,0.6906,0.9077,0.000142,0.9964,0.003215,0.000126,0.000112,5e-06,1e-06,0.156296,0.843703,0.0,0.0,0.0,0.00029,0.999522,0.000188,0.0,0.0,0.0,['14-a2']
claude4_1_shot_confidence_20250814-225242,02-b1,"Earthquakes damage all buildings, including bridges. Fortunately, bridges falling down doesn't happen very often, especially with new bridges. Engineers have learned how to build bridges in earthquake areas using methods that can handle ground movement much better.","Earthquakes damage all buildings, including bridges. Fortunately, bridges falling down doesn't happen very often, especially with new bridges. Engineers have learned how to build bridges in earthquake areas using methods that can handle ground movement much better.",B1,A2,0.959,1,0.943,0.948,0.8596,0.9407,0.000179,0.959,0.03334,0.00092,0.00648,8.1e-05,0.0,0.0,0.838198,0.161802,0.0,0.0,0.00048,0.418924,0.58041,0.000125,3.1e-05,2.9e-05,['18-b1']
claude4_1_shot_confidence_20250814-225242,03-a2,"The Hunger Games happen every year. The Capitol is the government. They use the Games to punish the districts because the districts fought against them before. Every year, each district must send two young people to the Games - one boy and one girl. These young people are between 12 and 18 years old. They choose them by lottery - this means they pick names from a box. The young people who go to the Games are called ""tributes"". In the Games, all the tributes must fight each other. Only one person can stay alive at the end. Everyone in the country must watch this on TV.","The Hunger Games happen every year. The Capitol is the government. They use the Games to punish the districts because the districts fought against them before. Every year, each district must send two young people to the Games - one boy and one girl. These young people are between 12 and 18 years old. They choose them by lottery - this means they pick names from a box. The young people who go to the Games are called ""tributes"". In the Games, all the tributes must fight each other. Only one person can stay alive at the end. Everyone in the country must watch this on TV.",A2,A2,0.9997,1,0.7405,0.916,0.6784,0.8933,0.00015,0.999727,0.000123,0.0,0.0,0.0,1e-06,0.99863,0.001369,0.0,0.0,0.0,0.02658,0.971825,0.001595,0.0,0.0,0.0,['14-a2']
claude4_1_shot_confidence_20250814-225242,03-b1,"The Hunger Games happen every year. The Capitol uses this event to remind the districts that they are being punished because they fought against the government in the past. Every year, one boy and one girl between 12 and 18 years old are picked by chance from each district. They have to fight in a battle where only one person can stay alive. These young people are called ""tributes"". Everyone in the country must watch this event on television.","The Hunger Games happen every year. The Capitol uses this event to remind the districts that they are being punished because they fought against the government in the past. Every year, one boy and one girl between 12 and 18 years old are picked by chance from each district. They have to fight in a battle where only one person can stay alive. These young people are called ""tributes"". Everyone in the country must watch this event on television.",B1,A2,0.9999,1,0.8519,0.9552,0.8112,0.9383,4.5e-05,0.999858,9.6e-05,0.0,0.0,0.0,0.0,0.000809,0.999187,4e-06,0.0,0.0,0.001043,0.998318,0.000639,0.0,0.0,0.0,['18-b1']
claude4_1_shot_confidence_20250814-225242,04-a2,"Birds, squirrels, mice and insects are small animals. We often see them in cities and towns. But now, bigger wild animals are coming into cities too. This is happening more and more. Newspapers and TV news talk about this a lot. 

There are bears in parks in Vancouver. Vancouver is a city in Canada. There are leopards walking on streets in Mumbai. Mumbai is a big city in India. There are wild pigs in people's gardens in Berlin. Berlin is a city in Germany.

What happens when these big animals come to our cities? Do people like them? Or do people think they are dangerous? Do people think these animals cause problems?","Birds, squirrels, mice and insects are small animals. We often see them in cities and towns. But now, bigger wild animals are coming into cities too. This is happening more and more. Newspapers and TV news talk about this a lot. 

There are bears in parks in Vancouver. Vancouver is a city in Canada. There are leopards walking on streets in Mumbai. Mumbai is a big city in India. There are wild pigs in people's gardens in Berlin. Berlin is a city in Germany.

What happens when these big animals come to our cities? Do people like them? Or do people think they are dangerous? Do people think these animals cause problems?",A2,A2,0.9999,1,0.6702,0.915,0.7669,0.9143,0.000108,0.999815,7.7e-05,0.0,1e-06,0.0,1e-05,0.999908,8.3e-05,0.0,0.0,0.0,0.02373,0.976139,0.00013,0.0,0.0,0.0,['14-a2']
claude4_1_shot_confidence_20250814-225242,04-b1,"Small animals like birds, squirrels, mice and insects are easy to see in many cities and towns. But in recent years, newspapers and TV news around the world have reported many stories about wild animals coming into cities more and more often. There have been bears in Vancouver parks, leopards on the streets of Mumbai and wild pigs in gardens in Berlin. What happens when bigger animals come into our cities? Do people welcome them or do people think they are dangerous or cause problems?","Small animals like birds, squirrels, mice and insects are easy to see in many cities and towns. But in recent years, newspapers and TV news around the world have reported many stories about wild animals coming into cities more and more often. There have been bears in Vancouver parks, leopards on the streets of Mumbai and wild pigs in gardens in Berlin. What happens when bigger animals come into our cities? Do people welcome them or do people think they are dangerous or cause problems?",B1,B1,1.0,1,0.8607,0.9724,0.8524,0.968,0.000157,0.981592,0.0181,1.2e-05,0.000137,1e-06,0.0,1.2e-05,0.999988,0.0,0.0,0.0,7.1e-05,0.987139,0.012789,0.0,0.0,0.0,['18-b1']
claude4_1_shot_confidence_20250814-225242,05-a2,"'Potentially Hazardous Asteroids' are big rocks in space. They can come very close to Earth - less than 7.5 million kilometres away. NASA is a space organization. They have made a map of 1,400 of these dangerous rocks. NASA thinks none of these rocks will hit Earth in the next 100 years. NASA can watch these rocks with special machines. They can tell us if a rock might hit Earth. If that happens, NASA has two ways to stop the rock from hitting our planet.","'Potentially Hazardous Asteroids' are big rocks in space. They can come very close to Earth - less than 7.5 million kilometres away. NASA is a space organization. They have made a map of 1,400 of these dangerous rocks. NASA thinks none of these rocks will hit Earth in the next 100 years. NASA can watch these rocks with special machines. They can tell us if a rock might hit Earth. If that happens, NASA has two ways to stop the rock from hitting our planet.",A2,A2,0.9942,1,0.7067,0.9087,0.6777,0.9126,7.2e-05,0.993742,0.006161,8e-06,1.6e-05,0.0,3e-06,0.448246,0.551699,5.2e-05,0.0,0.0,0.005456,0.994236,0.000308,0.0,0.0,0.0,['14-a2']
claude4_1_shot_confidence_20250814-225242,05-b1,"'Potentially Hazardous Asteroids' are space rocks that can come within 7.5 million kilometres of Earth's path around the sun. NASA has made a map showing 1,400 of these dangerous asteroids. None of them are expected to hit Earth in the next one hundred years. NASA can already watch these space rocks using technology we have now. They can also predict if one might hit Earth. If this happens, NASA has two ways to protect our planet.","'Potentially Hazardous Asteroids' are space rocks that can come within 7.5 million kilometres of Earth's path around the sun. NASA has made a map showing 1,400 of these dangerous asteroids. None of them are expected to hit Earth in the next one hundred years. NASA can already watch these space rocks using technology we have now. They can also predict if one might hit Earth. If this happens, NASA has two ways to protect our planet.",B1,A2,0.9845,1,0.8337,0.924,0.8287,0.9342,9.7e-05,0.984517,0.01509,6.5e-05,0.000227,4e-06,0.0,2e-06,0.093275,0.906664,5.9e-05,0.0,6.8e-05,0.756829,0.243102,0.0,0.0,0.0,['18-b1']
