text_id,source_type,model,base_prompt,sampling_strategy,few_shot,Filepath,wordtypes,wordtokens,swordtypes,swordtokens,lextypes,lextokens,slextypes,slextokens,verbtypes,verbtokens,sverbtypes,sverbtokens,adjtypes,adjtokens,advtypes,advtokens,nountypes,nountokens,LD,LS1,LS2,VS1,VS2,CVS1,NDW,NDW-50,NDW-ER50,NDW-ES50,TTR,MSTTR,CTTR,RTTR,LogTTR,Uber,LV,VV1,SVV1,CVV1,VV2,NV,AdjV,AdvV,ModV
01-a2,Original,,,,,cli_text,54,72,10,15,27,33,10,15,11,12,4,5,5,5,1,1,11,15,0.4583,0.4545,0.1852,0.3333,1.3333,0.8165,54,38,40.0,38.9,0.75,0.76,4.5,6.364,0.9327,27.611,0.8182,0.9167,10.0833,2.2454,0.3333,0.7333,0.1515,0.0303,0.1818
01-b1,Original,,,,,cli_text,54,72,10,15,27,33,10,15,11,12,4,5,5,5,1,1,11,15,0.4583,0.4545,0.1852,0.3333,1.3333,0.8165,54,38,40.7,39.1,0.75,0.76,4.5,6.364,0.9327,27.611,0.8182,0.9167,10.0833,2.2454,0.3333,0.7333,0.1515,0.0303,0.1818
02-a2,Original,,,,,cli_text,31,36,7,8,18,21,6,7,4,4,0,0,3,3,2,2,9,12,0.5833,0.3333,0.2258,0.0,0.0,0.0,31,31,31.0,31.0,0.8611,0.8611,3.6534,5.1667,0.9583,37.2967,0.8571,1.0,4.0,1.4142,0.1905,0.75,0.1429,0.0952,0.2381
02-b1,Original,,,,,cli_text,31,36,7,8,18,21,6,7,4,4,0,0,3,3,2,2,9,12,0.5833,0.3333,0.2258,0.0,0.0,0.0,31,31,31.0,31.0,0.8611,0.8611,3.6534,5.1667,0.9583,37.2967,0.8571,1.0,4.0,1.4142,0.1905,0.75,0.1429,0.0952,0.2381
03-a2,Original,,,,,cli_text,48,69,9,9,29,32,9,9,10,11,3,3,3,3,1,1,15,17,0.4638,0.2812,0.1875,0.2727,0.8182,0.6396,48,37,36.4,37.7,0.6957,0.74,4.086,5.7785,0.9143,21.4543,0.9062,0.9091,9.0909,2.132,0.3125,0.8824,0.0938,0.0312,0.125
03-b1,Original,,,,,cli_text,48,69,9,9,29,32,9,9,10,11,3,3,3,3,1,1,15,17,0.4638,0.2812,0.1875,0.2727,0.8182,0.6396,48,37,36.9,37.8,0.6957,0.74,4.086,5.7785,0.9143,21.4543,0.9062,0.9091,9.0909,2.132,0.3125,0.8824,0.0938,0.0312,0.125
04-a2,Original,,,,,cli_text,53,82,11,11,36,44,11,11,4,5,0,0,8,11,0,0,24,28,0.5366,0.25,0.2075,0.0,0.0,0.0,53,38,36.7,35.4,0.6463,0.76,4.1386,5.8529,0.901,19.3243,0.8182,0.8,3.2,1.2649,0.0909,0.8571,0.1818,0.0,0.1818
04-b1,Original,,,,,cli_text,53,82,11,11,36,44,11,11,4,5,0,0,8,11,0,0,24,28,0.5366,0.25,0.2075,0.0,0.0,0.0,53,38,36.0,35.5,0.6463,0.76,4.1386,5.8529,0.901,19.3243,0.8182,0.8,3.2,1.2649,0.0909,0.8571,0.1818,0.0,0.1818
05-a2,Original,,,,,cli_text,55,64,8,9,29,30,8,9,6,6,0,0,5,5,1,1,17,18,0.4688,0.3,0.1455,0.0,0.0,0.0,55,43,43.8,43.8,0.8594,0.86,4.8614,6.875,0.9636,49.5658,0.9667,1.0,6.0,1.7321,0.2,0.9444,0.1667,0.0333,0.2
05-b1,Original,,,,,cli_text,55,64,8,9,29,30,8,9,6,6,0,0,5,5,1,1,17,18,0.4688,0.3,0.1455,0.0,0.0,0.0,55,43,44.1,43.8,0.8594,0.86,4.8614,6.875,0.9636,49.5658,0.9667,1.0,6.0,1.7321,0.2,0.9444,0.1667,0.0333,0.2
